Parameters	$/g	Last Order Vendor/website
NaCl	0.002073192	https://www.mcmaster.com/products/3190k857/
MgCl2	0.08316	https://www.laballey.com/products/magnesium-chloride-purified?selected=C5015-2.5KG
Na2SO4	0.033196	https://www.laballey.com/products/sodium-sulfate-anhydrous-lab-grade?selected=SOSUATGL-2.5KG
CaCl2	0.11176	https://www.laballey.com/products/calcium-chloride-dihydrate-acs-fcc?selected=C2450-2.5KG
KCl	0.0325	https://schoolmasters.com/products/potassium-chloride-reagent-crystal-500g
NaHCO3	0.033656	https://www.laballey.com/products/sodium-bicarbonate-powder-lab?selected=SOBICGL-2.5KG
KBr	0.081796	https://www.laballey.com/products/potassium-bromide-acs-usp-grade?selected=POBROA-2.5KG
HBO3	0.1485	https://www.laballey.com/products/boric-acid-granular-acs-grade?selected=C2121-1KG
SrCl2	0.517	https://www.laballey.com/products/strontium-chloride-crystal-reagent?selected=C7940-100g
NaF	0.33	Sigma-Aldrich
Ba(NO3)2	0.2156	https://www.laballey.com/products/barium-nitrate-crystal-acs?gad_source=1&gad_campaignid=21110331806&gbraid=0AAAAADL2l2WnqtKHQxU5dZicgsMA884Qx&gclid=CjwKCAjwspPOBhB9EiwATFbi5MbC5QtTGe8TTffq0gwK8aw3QH_XCKJIz7qKaQFjNeZxIOdbJbVYohoC5ZoQAvD_BwE&selected=C1955-500g
Mn(NO3)2	0.218	https://www.sigmaaldrich.com/US/en/product/aldrich/288640?utm_source=google&utm_medium=cpc&utm_campaign=20790375250&utm_content=154400301983&gad_source=1&gad_campaignid=20790375250&gbraid=0AAAAAD8kLQRCITIOBHShx_iQa8bPFI9s3&gclid=CjwKCAjwspPOBhB9EiwATFbi5PIyJS17qJiidN1impFfVV0jnul6pF1Pz8x-Sbi_MVIH_tRY2HUdgxoCI6wQAvD_BwE
Cu(NO3)2	0.1452	https://www.laballey.com/products/copper-nitrate-crystal-purified?selected=C3322-500G&gad_source=1&gad_campaignid=20943868963&gbraid=0AAAAADL2l2WeE6k8peXLlOO4MZAhWjcyI&gclid=CjwKCAjwspPOBhB9EiwATFbi5H1tVX7h0m9b4w6uMk-Wp6PofD7WcZJu-YE537HnxA4Gv_pX5HF8FhoCE_8QAvD_BwE
Zn(NO3)2	0.302	https://www.sigmaaldrich.com/US/en/product/sigald/228737?utm_source=google&utm_medium=cpc&utm_campaign=20790375250&utm_content=154400301983&gad_source=1&gad_campaignid=20790375250&gbraid=0AAAAAD8kLQRCITIOBHShx_iQa8bPFI9s3&gclid=CjwKCAjwspPOBhB9EiwATFbi5GXX70F9oUEe9f4FiGB6jV3BDCLgHyOGdU3cDTXJ32zF5oLkz2CVZhoCMBQQAvD_BwE
Pb(NO3)2	0.3146	https://www.laballey.com/products/lead-nitrate-crystal-acs?selected=C4790-500g&gad_source=1&gad_campaignid=21110331806&gbraid=0AAAAADL2l2WnqtKHQxU5dZicgsMA884Qx&gclid=CjwKCAjwspPOBhB9EiwATFbi5JykTvMvch8SURetcJ82YYgyg-WulohexG2UedHLuhTrUizGjrnl0hoC1xYQAvD_BwE
AgNO3	21.6	https://www.laballey.com/products/silver-nitrate-crystal-anhydrous-acs?selected=SINIGA-5G&gad_source=1&gad_campaignid=20943868963&gbraid=0AAAAADL2l2WeE6k8peXLlOO4MZAhWjcyI&gclid=CjwKCAjwspPOBhB9EiwATFbi5INjObKvVvVO8LyeXGDRcQuDz87y4DPVDdBzvLWN_oq3OjAHr0GXbhoCGfcQAvD_BwE
